User,Location,Card Number,Amount,Maximum Amount,Merchant,Transaction Type,Fraudulent
32,Paris,4.92E+15,850,2800,Electronics Store,In-store Purchase,0
33,London,4.92E+15,950,2900,Cafe,In-store Purchase,0
34,New York,4.03E+15,1050,3000,Grocery Store,In-store Purchase,0
35,Tokyo,4.03E+15,1150,3100,Gas Station,ATM Withdrawal,0
36,Berlin,4.03E+15,1250,3200,Online Retailer,Online Purchase,0
37,Moscow,6.01E+15,1350,3300,Electronics Store,In-store Purchase,0
38,Sydney,6.01E+15,1450,3400,Coffee Shop,In-store Purchase,0
39,Madrid,6.01E+15,1550,3500,Grocery Store,In-store Purchase,0
40,Rome,6.01E+15,1650,3600,Gas Station,ATM Withdrawal,0
41,Buenos Aires,6.02E+15,1750,3700,Online Retailer,Online Purchase,0
42,Cape Town,6.02E+15,1850,3800,Electronics Store,In-store Purchase,0
43,Toronto,6.02E+15,1950,3900,Cafe,In-store Purchase,0
44,Dubai,6.02E+15,2050,4000,Grocery Store,In-store Purchase,0
45,Paris,6.02E+15,2150,4100,Gas Station,ATM Withdrawal,0
47,Unknown,0,5000,5231,Scam Website,Online Purchase,1
48,Unknown,1.11E+15,3500,5231,Fraudulent Business,In-store Purchase,1
49,Unknown,2.22E+15,2800,5231,Phishing Scheme,Online Purchase,1
50,Unknown,3.33E+15,4100,5231,Bogus Charity,Donation,1
51,Unknown,4.44E+15,5900,5231,Fake Investment Scheme,Online Purchase,1
52,Unknown,5.56E+15,700,5231,Non-existent Store,In-store Purchase,1
53,Unknown,6.67E+15,850,5231,Unauthorized Vendor,In-store Purchase,1
54,Unknown,7.78E+15,920,5231,Phony Service Provider,Online Purchase,1
55,Unknown,8.89E+15,1100,5231,Fraudulent Lottery,Gambling,1
56,Unknown,1.00E+16,1300,5231,Scam Call,Fraud,1
57,Unknown,1.23E+15,1800,5231,Fake Prize,Scam,1
58,Unknown,2.35E+15,2000,5231,Ponzi Scheme,Investment,1
59,Unknown,3.46E+15,2400,5231,Counterfeit Goods,In-store Purchase,1
60,Unknown,4.57E+15,2800,5231,Fake Credentials,Fraud,1
61,Unknown,5.68E+15,3100,5231,Identity Theft,Fraud,1
62,Unknown,6.79E+15,3500,5231,Phishing Email,Fraud,1
63,Unknown,7.89E+15,3900,5231,Fake Check,Fraud,1
64,Unknown,8.90E+15,4100,5231,Deceptive Advertising,Fraud,1
65,Unknown,9.01E+15,4700,5231,Phony Investment,Scam,1
66,Unknown,1.23E+14,5000,5231,Fake Prescription,Fraud,1
67,Unknown,1.23E+15,5500,5231,False Advertising,Fraud,1
68,Unknown,2.35E+15,5900,5231,Sham Auction,Fraud,1
69,Unknown,3.46E+15,6100,5231,Malware Download,Fraud,1
70,Unknown,4.57E+15,6500,5231,Counterfeit Software,Fraud,1
71,Unknown,5.68E+15,7000,5231,Fraudulent Subscription,Fraud,1
73,New York,4.92E+15,150,1000,Coffee Shop,In-store Purchase,0
74,Tokyo,4.92E+15,200,2000,Grocery Store,In-store Purchase,0
75,London,4.93E+15,250,3000,Gas Station,ATM Withdrawal,0
76,Paris,4.93E+15,300,4000,Electronics Store,In-store Purchase,0
77,Sydney,4.93E+15,350,5000,Online Retailer,Online Purchase,0
78,Mumbai,4.93E+15,400,6000,Cafe,In-store Purchase,0
79,Cape Town,4.93E+15,450,7000,Restaurant,In-store Purchase,0
80,Beijing,4.02E+15,500,8000,Gas Station,ATM Withdrawal,0
81,Moscow,4.02E+15,550,9000,Electronics Store,In-store Purchase,0
82,Buenos Aires,4.03E+15,600,10000,Online Retailer,Online Purchase,0
83,Toronto,4.03E+15,650,11000,Electronics Store,In-store Purchase,0
84,Dubai,4.03E+15,700,12000,Coffee Shop,In-store Purchase,0
85,Berlin,4.03E+15,750,13000,Grocery Store,In-store Purchase,0
86,Seoul,4.03E+15,800,14000,Gas Station,ATM Withdrawal,0
87,Paris,4.03E+15,850,15000,Electronics Store,In-store Purchase,0
88,London,4.03E+15,900,16000,Cafe,In-store Purchase,0
89,New York,4.03E+15,950,17000,Grocery Store,In-store Purchase,0
90,Tokyo,4.03E+15,1000,18000,Gas Station,ATM Withdrawal,0
91,Sydney,4.03E+15,1050,19000,Electronics Store,In-store Purchase,0
92,Mumbai,4.04E+15,1100,20000,Online Retailer,Online Purchase,0
93,Cape Town,4.04E+15,1150,21000,Electronics Store,In-store Purchase,0
94,Beijing,4.04E+15,1200,22000,Cafe,In-store Purchase,0
95,Moscow,4.04E+15,1250,23000,Restaurant,In-store Purchase,0
96,Buenos Aires,4.04E+15,1300,24000,Gas Station,ATM Withdrawal,0
97,Toronto,4.04E+15,1350,25000,Electronics Store,In-store Purchase,0
98,Dubai,4.04E+15,1400,26000,Coffee Shop,In-store Purchase,0
99,Berlin,4.04E+15,1450,27000,Grocery Store,In-store Purchase,0
100,Unknown,1.11E+15,750,10000,Fraudulent Website,Online Purchase,1
101,Unknown,2.22E+15,800,11000,Phishing Scam,Fraud,1
102,Unknown,3.33E+15,850,12000,Bogus Charity,Donation,1
103,Unknown,4.44E+15,900,13000,Fake Investment Scheme,Online Purchase,1
104,Unknown,5.56E+15,950,14000,Phony Service Provider,Online Purchase,1
105,Unknown,6.67E+15,1000,15000,Fake Lottery,Gambling,1
106,Unknown,7.78E+15,1050,16000,Scam Call,Fraud,1
107,Unknown,8.89E+15,1100,17000,Fake Prize,Scam,1
108,Unknown,1.23E+15,1150,18000,Ponzi Scheme,Investment,1
109,Unknown,2.35E+15,1200,19000,Counterfeit Goods,In-store Purchase,1
110,Unknown,3.46E+15,1250,20000,Fake Credentials,Fraud,1
111,Unknown,4.57E+15,1300,21000,Identity Theft,Fraud,1
112,Unknown,5.68E+15,1350,22000,Phishing Email,Fraud,1
113,Unknown,6.79E+15,1400,23000,Fake Check,Fraud,1
114,Unknown,7.89E+15,1450,24000,Deceptive Advertising,Fraud,1
115,Unknown,8.90E+15,1500,25000,Phony Investment,Scam,1
116,Unknown,9.01E+15,1550,26000,Fake Prescription,Fraud,1
117,Unknown,1.23E+14,1600,27000,False Advertising,Fraud,1
118,Unknown,1.23E+15,1650,28000,Sham Auction,Fraud,1
119,Unknown,2.35E+15,1700,29000,Malware Download,Fraud,1
120,Unknown,3.46E+15,1750,30000,Counterfeit Software,Fraud,1
121,Unknown,4.57E+15,1800,31000,Fraudulent Subscription,Fraud,1
122,Unknown,5.68E+15,1850,32000,Fake Investment,Scam,1
123,Unknown,6.79E+15,1900,33000,Phishing Attack,Fraud,1
124,Unknown,7.89E+15,1950,34000,Scam Phone Call,Fraud,1
125,Unknown,8.90E+15,2000,35000,False Advertisement,Fraud,1
126,Unknown,9.01E+15,2050,36000,Fake Invoice,Fraud,1
127,Sydney,4.92E+15,230,2500,Clothing Store,In-store Purchase,0
128,Los Angeles,4.03E+15,120,1500,Restaurant,In-store Purchase,0
129,Toronto,6.01E+15,270,4000,Gas Station,ATM Withdrawal,0
130,Paris,6.01E+15,320,4500,Cafe,In-store Purchase,0
131,Mumbai,4.92E+15,180,3500,Supermarket,In-store Purchase,0
132,Beijing,4.02E+15,220,3800,Electronics Store,In-store Purchase,0
133,London,5.21E+15,190,3000,Clothing Store,In-store Purchase,0
134,Tokyo,4.92E+15,320,4300,Restaurant,In-store Purchase,0
135,Berlin,4.92E+15,250,4200,Online Retailer,Online Purchase,0
136,New York,4.03E+15,350,4800,Grocery Store,In-store Purchase,0
137,Moscow,6.01E+15,400,5300,Electronics Store,In-store Purchase,0
138,Sydney,4.92E+15,300,4700,Gas Station,ATM Withdrawal,0
139,Seoul,4.91E+15,220,3400,Coffee Shop,In-store Purchase,0
140,Beijing,4.02E+15,400,5500,Restaurant,In-store Purchase,0
141,Mumbai,4.92E+15,230,3600,Clothing Store,In-store Purchase,0
142,Los Angeles,4.03E+15,150,2200,Coffee Shop,In-store Purchase,0
143,Paris,6.01E+15,380,5600,Grocery Store,In-store Purchase,0
144,Berlin,4.92E+15,280,4900,Electronics Store,In-store Purchase,0
145,Tokyo,4.92E+15,350,5100,Cafe,In-store Purchase,0
146,Toronto,6.01E+15,310,4700,Online Retailer,Online Purchase,0
147,London,5.21E+15,220,3600,Supermarket,In-store Purchase,0
148,Sydney,4.92E+15,260,4400,Gas Station,ATM Withdrawal,0
149,New York,4.93E+15,500,6000,Gas Station,ATM Withdrawal,0
150,Mumbai,4.92E+15,270,4100,Electronics Store,In-store Purchase,0
151,Tokyo,4.92E+15,370,5200,Online Retailer,Online Purchase,0
152,Seoul,4.91E+15,240,3800,Restaurant,In-store Purchase,0
153,Beijing,4.02E+15,450,5700,Gas Station,ATM Withdrawal,0
154,Los Angeles,4.03E+15,170,2400,Electronics Store,In-store Purchase,0
155,Moscow,6.01E+15,430,5800,Online Retailer,Online Purchase,0
156,Paris,6.01E+15,420,5700,Cafe,In-store Purchase,0
157,Berlin,4.92E+15,300,5000,Grocery Store,In-store Purchase,0
158,London,5.21E+15,230,3700,Clothing Store,In-store Purchase,0
159,Sydney,4.92E+15,280,4600,Coffee Shop,In-store Purchase,0
160,New York,4.03E+15,400,5500,Grocery Store,In-store Purchase,0
161,Mumbai,4.92E+15,320,4900,Online Retailer,Online Purchase,0
162,Tokyo,4.92E+15,390,5400,Electronics Store,In-store Purchase,0
163,Toronto,6.01E+15,350,5100,Cafe,In-store Purchase,0
164,Paris,6.01E+15,450,6000,Grocery Store,In-store Purchase,0
165,Berlin,4.92E+15,320,5100,Electronics Store,In-store Purchase,0
166,London,5.21E+15,240,4000,Supermarket,In-store Purchase,0
167,Sydney,4.92E+15,310,4800,Gas Station,ATM Withdrawal,0
168,New York,4.93E+15,550,6500,Clothing Store,In-store Purchase,0
169,Mumbai,4.92E+15,350,5000,Cafe,In-store Purchase,0
170,Tokyo,4.92E+15,420,5700,Restaurant,In-store Purchase,0
171,Seoul,4.91E+15,260,4000,Gas Station,ATM Withdrawal,0
172,Beijing,4.02E+15,480,5900,Electronics Store,In-store Purchase,0
173,Los Angeles,4.03E+15,200,2800,Coffee Shop,In-store Purchase,0
174,Moscow,6.01E+15,460,6100,Online Retailer,Online Purchase,0
175,Paris,6.01E+15,470,6200,Cafe,In-store Purchase,0
176,Berlin,4.92E+15,340,5200,Grocery Store,In-store Purchase,0
177,London,5.21E+15,250,4100,Clothing Store,In-store Purchase,0
178,Sydney,4.92E+15,320,4900,Coffee Shop,In-store Purchase,0
179,New York,4.03E+15,420,5700,Grocery Store,In-store Purchase,0
180,Mumbai,4.92E+15,350,5100,Online Retailer,Online Purchase,0
181,Tokyo,4.92E+15,430,5800,Electronics Store,In-store Purchase,0
182,Toronto,6.01E+15,370,5400,Cafe,In-store Purchase,0
183,Paris,6.01E+15,480,6200,Grocery Store,In-store Purchase,0
184,Berlin,4.92E+15,350,5300,Electronics Store,In-store Purchase,0
185,London,5.21E+15,270,4200,Supermarket,In-store Purchase,0
186,Sydney,4.92E+15,330,5000,Gas Station,ATM Withdrawal,0
187,New York,4.93E+15,570,6700,Clothing Store,In-store Purchase,0
188,Mumbai,4.92E+15,370,5300,Cafe,In-store Purchase,0
189,Tokyo,4.92E+15,450,6000,Restaurant,In-store Purchase,0
190,Seoul,4.91E+15,280,4200,Gas Station,ATM Withdrawal,0
191,Beijing,4.02E+15,500,6100,Electronics Store,In-store Purchase,0
192,Los Angeles,4.03E+15,220,3000,Coffee Shop,In-store Purchase,0
193,Moscow,6.01E+15,490,6200,Online Retailer,Online Purchase,0
194,Paris,6.01E+15,490,6300,Cafe,In-store Purchase,0
195,Berlin,4.92E+15,360,5400,Grocery Store,In-store Purchase,0
196,London,5.21E+15,280,4300,Clothing Store,In-store Purchase,0
197,Sydney,4.92E+15,340,5100,Coffee Shop,In-store Purchase,0
198,New York,4.03E+15,450,5900,Grocery Store,In-store Purchase,0
199,Mumbai,4.92E+15,380,5500,Online Retailer,Online Purchase,0
200,Tokyo,4.92E+15,460,6200,Electronics Store,In-store Purchase,0
201,Unknown,1.11E+15,5000,5231,Scam Website,Online Purchase,1
202,Unknown,2.22E+15,3500,5231,Fraudulent Business,In-store Purchase,1
203,Unknown,3.33E+15,4100,5231,Bogus Charity,Donation,1
204,Unknown,4.44E+15,5900,5231,Fake Investment Scheme,Online Purchase,1
205,Unknown,5.56E+15,700,5231,Non-existent Store,In-store Purchase,1
206,Unknown,6.67E+15,850,5231,Unauthorized Vendor,In-store Purchase,1
207,Unknown,7.78E+15,920,5231,Phony Service Provider,Online Purchase,1
208,Unknown,8.89E+15,1100,5231,Fraudulent Lottery,Gambling,1
209,Unknown,1.00E+16,1300,5231,Scam Call,Fraud,1
210,Unknown,1.23E+15,1800,5231,Fake Prize,Scam,1
211,Unknown,2.35E+15,2000,5231,Ponzi Scheme,Investment,1
212,Unknown,3.46E+15,2400,5231,Counterfeit Goods,In-store Purchase,1
213,Unknown,4.57E+15,2800,5231,Fake Credentials,Fraud,1
214,Unknown,5.68E+15,3100,5231,Identity Theft,Fraud,1
215,Unknown,6.79E+15,3500,5231,Phishing Email,Fraud,1
216,Unknown,7.89E+15,3900,5231,Fake Check,Fraud,1
217,Unknown,8.90E+15,4100,5231,Deceptive Advertising,Fraud,1
218,Unknown,9.01E+15,4700,5231,Phony Investment,Scam,1
219,Unknown,1.23E+14,5000,5231,Fake Prescription,Fraud,1
220,Unknown,1.23E+15,5500,5231,False Advertising,Fraud,1
221,Unknown,2.35E+15,5900,5231,Sham Auction,Fraud,1
222,Unknown,3.46E+15,6100,5231,Malware Download,Fraud,1
223,Unknown,4.57E+15,6500,5231,Counterfeit Software,Fraud,1
224,Unknown,5.68E+15,7000,5231,Fraudulent Subscription,Fraud,1
225,Unknown,6.79E+15,7500,5231,Fake Investment,Scam,1
226,Unknown,7.89E+15,8000,5231,Phishing Attack,Fraud,1
227,Unknown,8.90E+15,8500,5231,Scam Phone Call,Fraud,1
228,Unknown,9.01E+15,9000,5231,False Advertisement,Fraud,1
229,Unknown,1.23E+14,9500,5231,Fake Invoice,Fraud,1
230,Unknown,1.23E+15,10000,5231,Phishing Scam,Fraud,1
231,Unknown,2.35E+15,10500,5231,Bogus Charity,Donation,1
232,Unknown,3.46E+15,11000,5231,Fake Investment Scheme,Online Purchase,1
233,Unknown,4.57E+15,11500,5231,Phony Service Provider,Online Purchase,1
234,Unknown,5.68E+15,12000,5231,Fake Lottery,Gambling,1
235,Unknown,6.79E+15,12500,5231,Scam Call,Fraud,1
236,Unknown,7.89E+15,13000,5231,Fake Prize,Scam,1
237,Unknown,8.90E+15,13500,5231,Ponzi Scheme,Investment,1
238,Unknown,9.01E+15,14000,5231,Counterfeit Goods,In-store Purchase,1
239,Unknown,1.23E+14,14500,5231,Fake Credentials,Fraud,1
240,Unknown,1.23E+15,15000,5231,Identity Theft,Fraud,1
241,Unknown,2.35E+15,15500,5231,Phishing Email,Fraud,1
242,Unknown,3.46E+15,16000,5231,Fake Check,Fraud,1
243,Unknown,4.57E+15,16500,5231,Deceptive Advertising,Fraud,1
244,Unknown,5.68E+15,17000,5231,Phony Investment,Scam,1
245,Unknown,6.79E+15,17500,5231,Fake Prescription,Fraud,1
246,Unknown,7.89E+15,18000,5231,False Advertising,Fraud,1
247,Unknown,8.90E+15,18500,5231,Sham Auction,Fraud,1
248,Unknown,9.01E+15,19000,5231,Malware Download,Fraud,1
249,Unknown,1.23E+14,19500,5231,Counterfeit Software,Fraud,1
250,Unknown,1.23E+15,20000,5231,Fraudulent Subscription,Fraud,1
251,Unknown,2.35E+15,20500,5231,Fake Investment,Scam,1
252,Unknown,3.46E+15,21000,5231,Phishing Attack,Fraud,1
253,Unknown,4.57E+15,21500,5231,Scam Phone Call,Fraud,1
254,Unknown,5.68E+15,22000,5231,False Advertisement,Fraud,1
255,Unknown,6.79E+15,22500,5231,Fake Invoice,Fraud,1
256,Unknown,7.89E+15,23000,5231,Phishing Scam,Fraud,1
257,Unknown,8.90E+15,23500,5231,Bogus Charity,Donation,1
258,Unknown,9.01E+15,24000,5231,Fake Investment Scheme,Online Purchase,1
259,Unknown,1.23E+14,24500,5231,Phony Service Provider,Online Purchase,1
260,Unknown,1.23E+15,25000,5231,Fake Lottery,Gambling,1
261,Unknown,2.35E+15,25500,5231,Scam Call,Fraud,1
262,Unknown,3.46E+15,26000,5231,Fake Prize,Scam,1
263,Unknown,4.57E+15,26500,5231,Ponzi Scheme,Investment,1
264,Unknown,5.68E+15,27000,5231,Counterfeit Goods,In-store Purchase,1
265,Unknown,6.79E+15,27500,5231,Fake Credentials,Fraud,1
266,Unknown,7.89E+15,28000,5231,Identity Theft,Fraud,1
267,Unknown,8.90E+15,28500,5231,Phishing Email,Fraud,1
268,Unknown,9.01E+15,29000,5231,Fake Check,Fraud,1
269,Unknown,1.23E+14,29500,5231,Deceptive Advertising,Fraud,1
270,Unknown,1.23E+15,30000,5231,Phony Investment,Scam,1
271,Unknown,2.35E+15,30500,5231,Fake Prescription,Fraud,1
272,Unknown,3.46E+15,31000,5231,False Advertising,Fraud,1
273,Unknown,4.57E+15,31500,5231,Sham Auction,Fraud,1
274,Unknown,5.68E+15,32000,5231,Malware Download,Fraud,1
275,Unknown,6.79E+15,32500,5231,Counterfeit Software,Fraud,1
276,Unknown,7.89E+15,33000,5231,Fraudulent Subscription,Fraud,1
277,Unknown,8.90E+15,33500,5231,Fake Investment,Scam,1
278,Unknown,9.01E+15,34000,5231,Phishing Attack,Fraud,1
279,Unknown,1.23E+14,34500,5231,Scam Phone Call,Fraud,1
280,Unknown,1.23E+15,35000,5231,False Advertisement,Fraud,1
281,Unknown,2.35E+15,35500,5231,Fake Invoice,Fraud,1
282,Unknown,3.46E+15,36000,5231,Phishing Scam,Fraud,1
283,Unknown,4.57E+15,36500,5231,Bogus Charity,Donation,1
284,Unknown,5.68E+15,37000,5231,Fake Investment Scheme,Online Purchase,1
285,Unknown,6.79E+15,37500,5231,Phony Service Provider,Online Purchase,1
286,Unknown,7.89E+15,38000,5231,Fake Lottery,Gambling,1
287,Unknown,8.90E+15,38500,5231,Scam Call,Fraud,1
288,Unknown,9.01E+15,39000,5231,Fake Prize,Scam,1
289,Unknown,1.23E+14,39500,5231,Ponzi Scheme,Investment,1
290,Unknown,1.23E+15,40000,5231,Counterfeit Goods,In-store Purchase,1
291,Unknown,2.35E+15,40500,5231,Fake Credentials,Fraud,1
292,Unknown,3.46E+15,41000,5231,Identity Theft,Fraud,1
293,Unknown,4.57E+15,41500,5231,Phishing Email,Fraud,1
294,Unknown,5.68E+15,42000,5231,Fake Check,Fraud,1
295,Unknown,6.79E+15,42500,5231,Deceptive Advertising,Fraud,1
296,Unknown,7.89E+15,43000,5231,Phony Investment,Scam,1
297,Unknown,8.90E+15,43500,5231,Fake Prescription,Fraud,1
298,Unknown,9.01E+15,44000,5231,False Advertising,Fraud,1
299,Unknown,1.23E+14,44500,5231,Sham Auction,Fraud,1
300,Unknown,1.23E+15,45000,5231,Malware Download,Fraud,1
301,London,1.23E+15,2500,1234,Grocery Store,In-store Purchase,0
302,Los Angeles,9.88E+15,1500,5678,Restaurant,In-store Purchase,0
303,Mumbai,4.57E+15,1800,9012,Online Retailer,Online Purchase,0
304,Unknown,6.54E+15,3000,3456,Clothing Store,In-store Purchase,0
305,Los Angeles,3.21E+15,1200,7890,Pharmacy,In-store Purchase,0
306,Tokyo,7.89E+15,2000,2345,Electronics Store,In-store Purchase,0
307,Toronto,9.01E+15,2800,6789,Bookstore,In-store Purchase,0
308,Sydney,2.35E+15,3500,1234,Online Retailer,Online Purchase,0
309,Beijing,8.90E+15,4000,5678,Supermarket,In-store Purchase,0
310,Moscow,5.68E+15,2200,9012,Restaurant,In-store Purchase,0
311,Moscow,1.23E+14,2700,3456,Department Store,In-store Purchase,0
312,Paris,7.89E+15,3200,7890,Coffee Shop,In-store Purchase,0
313,London,3.46E+15,1900,2345,Online Retailer,Online Purchase,0
314,Mumbai,9.01E+15,2800,6789,Clothing Store,In-store Purchase,0
315,New York,6.79E+15,1500,1234,Grocery Store,In-store Purchase,0
316,Beijing,4.57E+15,2100,5678,Pharmacy,In-store Purchase,0
317,Unknown,2.35E+15,2900,9012,Bookstore,In-store Purchase,0
318,Toronto,7.89E+15,3800,3456,Online Retailer,Online Purchase,0
319,Sydney,3.46E+15,2600,7890,Supermarket,In-store Purchase,0
320,Beijing,9.01E+15,4200,2345,Restaurant,In-store Purchase,0
321,Moscow,6.79E+15,2300,6789,Electronics Store,In-store Purchase,0
322,Moscow,4.57E+15,3300,1234,Clothing Store,In-store Purchase,0
323,Paris,1.23E+15,3700,5678,Coffee Shop,In-store Purchase,0
324,London,8.90E+15,2600,9012,Online Retailer,Online Purchase,0
325,Mumbai,2.35E+15,2900,3456,Grocery Store,In-store Purchase,0
326,New York,9.01E+15,4100,7890,Pharmacy,In-store Purchase,0
327,Beijing,6.79E+15,1800,2345,Bookstore,In-store Purchase,0
328,Paris,3.46E+15,2400,6789,Online Retailer,Online Purchase,0
329,Tokyo,9.01E+15,3800,1234,Supermarket,In-store Purchase,0
330,London,5.68E+15,2000,5678,Restaurant,In-store Purchase,0
